r	g	b	c	m	y	k
74	74	74	0	0	0	181
75	75	75	0	0	0	180
76	76	76	0	0	0	179
77	77	77	0	0	0	178
78	78	78	0	0	0	177
79	79	79	0	0	0	176
80	80	80	0	0	0	175
81	81	81	0	0	0	174
82	82	82	0	0	0	173
83	83	83	0	0	0	172
84	84	84	0	0	0	171
85	85	85	0	0	0	170
86	86	86	0	0	0	169
87	87	87	0	0	0	168
88	88	88	0	0	0	167
89	89	89	0	0	0	166
90	90	90	0	0	0	165
91	91	91	0	0	0	164
92	92	92	0	0	0	163
93	93	93	0	0	0	162
94	94	94	0	0	0	161
95	95	95	0	0	0	160
96	96	96	0	0	0	159
97	97	97	0	0	0	158
98	98	98	0	0	0	157
99	99	99	0	0	0	156
100	100	100	0	0	0	155
101	101	101	0	0	0	154
102	102	102	0	0	0	153
103	103	103	0	0	0	152
104	104	104	0	0	0	151
105	105	105	0	0	0	150
106	106	106	0	0	0	149
107	107	107	0	0	0	148
108	108	108	0	0	0	147
109	109	109	0	0	0	146
110	110	110	0	0	0	145
111	111	111	0	0	0	144
112	112	112	0	0	0	143
113	113	113	0	0	0	142
114	114	114	0	0	0	141
115	115	115	0	0	0	140
116	116	116	0	0	0	139
117	117	117	0	0	0	138
118	118	118	0	0	0	137
119	119	119	0	0	0	136
120	120	120	0	0	0	135
121	121	121	0	0	0	134
122	122	122	0	0	0	133
123	123	123	0	0	0	132
124	124	124	0	0	0	131
125	125	125	0	0	0	130
126	126	126	0	0	0	129
127	127	127	0	0	0	128
128	128	128	0	0	0	127
129	129	129	0	0	0	126
130	130	130	0	0	0	125
131	131	131	0	0	0	124
132	132	132	0	0	0	123
133	133	133	0	0	0	122
134	134	134	0	0	0	121
135	135	135	0	0	0	120
136	136	136	0	0	0	119
137	137	137	0	0	0	118
138	138	138	0	0	0	117
139	139	139	0	0	0	116
140	140	140	0	0	0	115
141	141	141	0	0	0	114
142	142	142	0	0	0	113
143	143	143	0	0	0	112
144	144	144	0	0	0	111
145	145	145	0	0	0	110
146	146	146	0	0	0	109
147	147	147	0	0	0	108
148	148	148	0	0	0	107
149	149	149	0	0	0	106
150	150	150	0	0	0	105
151	151	151	0	0	0	104
152	152	152	0	0	0	103
153	153	153	0	0	0	102
154	154	154	0	0	0	101
155	155	155	0	0	0	100
156	156	156	0	0	0	99
157	157	157	0	0	0	98
158	158	158	0	0	0	97
159	159	159	0	0	0	96
160	160	160	0	0	0	95
161	161	161	0	0	0	94
162	162	162	0	0	0	93
163	163	163	0	0	0	92
164	164	164	0	0	0	91
165	165	165	0	0	0	90
166	166	166	0	0	0	89
167	167	167	0	0	0	88
168	168	168	0	0	0	87
169	169	169	0	0	0	86
170	170	170	0	0	0	85
171	171	171	0	0	0	84
172	172	172	0	0	0	83
173	173	173	0	0	0	82
174	174	174	0	0	0	81
175	175	175	0	0	0	80
176	176	176	0	0	0	79
177	177	177	0	0	0	78
178	178	178	0	0	0	77
179	179	179	0	0	0	76
180	180	180	0	0	0	75
181	181	181	0	0	0	74
182	182	182	0	0	0	73
183	183	183	0	0	0	72
184	184	184	0	0	0	71
185	185	185	0	0	0	70
186	186	186	0	0	0	69
187	187	187	0	0	0	68
188	188	188	0	0	0	67
189	189	189	0	0	0	66
190	190	190	0	0	0	65
191	191	191	0	0	0	64
192	192	192	0	0	0	63
193	193	193	0	0	0	62
194	194	194	0	0	0	61
195	195	195	0	0	0	60
196	196	196	0	0	0	59
197	197	197	0	0	0	58
198	198	198	0	0	0	57
199	199	199	0	0	0	56
200	200	200	0	0	0	55
201	201	201	0	0	0	54
202	202	202	0	0	0	53
203	203	203	0	0	0	52
204	204	204	0	0	0	51
205	205	205	0	0	0	50
206	206	206	0	0	0	49
207	207	207	0	0	0	48
208	208	208	0	0	0	47
209	209	209	0	0	0	46
210	210	210	0	0	0	45
211	211	211	0	0	0	44
212	212	212	0	0	0	43
213	213	213	0	0	0	42
214	214	214	0	0	0	41
215	215	215	0	0	0	40
216	216	216	0	0	0	39
217	217	217	0	0	0	38
218	218	218	0	0	0	37
219	219	219	0	0	0	36
220	220	220	0	0	0	35
221	221	221	0	0	0	34
222	222	222	0	0	0	33
223	223	223	0	0	0	32
224	224	224	0	0	0	31
225	225	225	0	0	0	30
226	226	226	0	0	0	29
227	227	227	0	0	0	28
228	228	228	0	0	0	27
229	229	229	0	0	0	26
230	230	230	0	0	0	25
231	231	231	0	0	0	24
232	232	232	0	0	0	23
233	233	233	0	0	0	22
234	234	234	0	0	0	21
235	235	235	0	0	0	20
236	236	236	0	0	0	19
237	237	237	0	0	0	18
238	238	238	0	0	0	17
239	239	239	0	0	0	16
240	240	240	0	0	0	15
241	241	241	0	0	0	14
242	242	242	0	0	0	13
243	243	243	0	0	0	12
244	244	244	0	0	0	11
245	245	245	0	0	0	10
246	246	246	0	0	0	9
247	247	247	0	0	0	8
248	248	248	0	0	0	7
249	249	249	0	0	0	6
250	250	250	0	0	0	5
251	251	251	0	0	0	4
252	252	252	0	0	0	3
253	253	253	0	0	0	2
254	254	254	0	0	0	1
255	255	255	0	0	0	0
